----------------------------------------------------------------------
|  epoch  |  train_acc  |  val_acc  |  tta_val_acc  |  time_seconds  |
----------------------------------------------------------------------
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to cifar10/cifar-10-python.tar.gz





100%|███████████████████████| 170498071/170498071 [00:11<00:00, 15295598.41it/s]
Extracting cifar10/cifar-10-python.tar.gz to cifar10
/home/riabina/Experiments-estimating-smoothness-for-NanoGPT-and-CNN-on-CIFAR10/cnn_on_cifar10/train_cnn_estimate_blockwise_smoothness.py:369: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  data = torch.load(data_path, map_location=torch.device("cuda"))
Files already downloaded and verified
step:6.8 (2) L_estimated: 3946.1023 norm_grad: 234.9821
step:6.8 (3) L_estimated: 3979.9241 norm_grad: 251.5665
step:6.8 (4) L_estimated: 3662.4487 norm_grad: 218.3927
step:6.8 (5) L_estimated: 2082.0129 norm_grad: 121.9382
step:6.8 (6) L_estimated: 585.5499 norm_grad: 28.8305
step:6.8 (7) L_estimated: 621.3335 norm_grad: 26.6447
step:6.8 (8) L_estimated: 1056.7050 norm_grad: 50.7578
step:6.8 (9) L_estimated: 1276.6661 norm_grad: 60.0380
step:6.8 (10) L_estimated: 1372.6127 norm_grad: 67.1567
step:6.8 (11) L_estimated: 1994.3396 norm_grad: 97.0507
step:6.8 (12) L_estimated: 2164.9395 norm_grad: 103.1381
step:6.8 (13) L_estimated: 0.0547 norm_grad: 0.2689
|      6  |     0.9435  |   0.8900  |               |       21.1253  |
step:7.2 (0) L_estimated: 1792.9282 norm_grad: 78.9601
step:7.2 (1) L_estimated: 2190.0508 norm_grad: 93.5632
step:7.2 (2) L_estimated: 5550.8823 norm_grad: 242.0507
step:7.2 (3) L_estimated: 5662.5273 norm_grad: 259.4648
step:7.2 (4) L_estimated: 5285.4531 norm_grad: 228.8217
step:7.2 (5) L_estimated: 2933.7256 norm_grad: 125.4210
step:7.2 (6) L_estimated: 625.2762 norm_grad: 26.6347
step:7.2 (7) L_estimated: 945.7954 norm_grad: 33.2521
step:7.2 (8) L_estimated: 1373.5653 norm_grad: 54.5926
step:7.2 (9) L_estimated: 1656.0779 norm_grad: 61.0745
step:7.2 (10) L_estimated: 1815.1417 norm_grad: 67.7144
step:7.2 (11) L_estimated: 2314.6265 norm_grad: 90.4953
step:7.2 (12) L_estimated: 2452.9048 norm_grad: 88.4551
step:7.2 (13) L_estimated: 0.0629 norm_grad: 0.2466
step:7.4 (0) L_estimated: 2348.3049 norm_grad: 76.9024
step:7.4 (1) L_estimated: 2771.0923 norm_grad: 85.4289
step:7.4 (2) L_estimated: 7171.0029 norm_grad: 226.3221
step:7.4 (3) L_estimated: 7433.0088 norm_grad: 244.3664
step:7.4 (4) L_estimated: 6953.5005 norm_grad: 218.8333
step:7.4 (5) L_estimated: 3782.7996 norm_grad: 118.5835
step:7.4 (6) L_estimated: 781.6166 norm_grad: 20.6218
step:7.4 (7) L_estimated: 1086.2993 norm_grad: 32.9542
step:7.4 (8) L_estimated: 1786.9136 norm_grad: 46.8255
step:7.4 (9) L_estimated: 2385.8970 norm_grad: 59.0352
step:7.4 (10) L_estimated: 2550.0422 norm_grad: 62.3785
step:7.4 (11) L_estimated: 3994.9907 norm_grad: 92.1105
step:7.4 (12) L_estimated: 5296.1040 norm_grad: 109.6688
step:7.4 (13) L_estimated: 0.1202 norm_grad: 0.2532
step:7.6 (0) L_estimated: 3197.8474 norm_grad: 71.0050
step:7.6 (1) L_estimated: 3983.6985 norm_grad: 84.9847
step:7.6 (2) L_estimated: 10029.5439 norm_grad: 221.2134
step:7.6 (3) L_estimated: 10538.6035 norm_grad: 242.5724
step:7.6 (4) L_estimated: 9604.2725 norm_grad: 212.2987
step:7.6 (5) L_estimated: 5102.3975 norm_grad: 113.1747
step:7.6 (6) L_estimated: 954.8259 norm_grad: 21.5243
step:7.6 (7) L_estimated: 1376.3826 norm_grad: 24.6717
step:7.6 (8) L_estimated: 2116.8188 norm_grad: 37.6697
step:7.6 (9) L_estimated: 3108.5239 norm_grad: 54.2099
step:7.6 (10) L_estimated: 3153.9661 norm_grad: 61.6589
step:7.6 (11) L_estimated: 3665.1853 norm_grad: 67.4436
step:7.6 (12) L_estimated: 3177.9714 norm_grad: 53.1551
step:7.6 (13) L_estimated: 0.0860 norm_grad: 0.1471
step:7.8 (0) L_estimated: 6206.6685 norm_grad: 75.7109
step:7.8 (1) L_estimated: 7071.6489 norm_grad: 87.7286
step:7.8 (2) L_estimated: 19219.5469 norm_grad: 233.7757
step:7.8 (3) L_estimated: 20725.8535 norm_grad: 249.7103
step:7.8 (4) L_estimated: 18059.3066 norm_grad: 218.7795
step:7.8 (5) L_estimated: 9843.1631 norm_grad: 118.7882
step:7.8 (6) L_estimated: 2408.4587 norm_grad: 26.1623
step:7.8 (7) L_estimated: 2783.1174 norm_grad: 29.3926
step:7.8 (8) L_estimated: 3601.1392 norm_grad: 40.3133
step:7.8 (9) L_estimated: 5775.3872 norm_grad: 63.5974
step:7.8 (10) L_estimated: 5992.9858 norm_grad: 67.4412
step:7.8 (11) L_estimated: 7908.6147 norm_grad: 79.8840
step:7.8 (12) L_estimated: 8657.6611 norm_grad: 64.5638
step:7.8 (13) L_estimated: 0.2197 norm_grad: 0.1849
|      7  |     0.9565  |   0.9114  |               |       22.2106  |
|   eval  |     0.9565  |   0.9114  |       0.9241  |       25.9466  |
----------------------------------------------------------------------
/home/riabina/Experiments-estimating-smoothness-for-NanoGPT-and-CNN-on-CIFAR10/cnn_on_cifar10/logs/77d11d83-1fc7-4f0c-ac7a-62a6810ff307/log.pt
